MI_OCT_4 QK_MIDI_OCTAVE_4
MI_OCT_5 QK_MIDI_OCTAVE_5
MI_OCT_6 QK_MIDI_OCTAVE_6
MI_OCT_7 QK_MIDI_OCTAVE_7
MI_TRNS_N6 QK_MIDI_TRANSPOSE_N6
MI_TRNS_N5 QK_MIDI_TRANSPOSE_N5
MI_TRNS_N4 QK_MIDI_TRANSPOSE_N4
MI_TRNS_N3 QK_MIDI_TRANSPOSE_N3
MI_TRNS_N2 QK_MIDI_TRANSPOSE_N2
MI_TRNS_N1 QK_MIDI_TRANSPOSE_N1
MI_TRNS_0 QK_MIDI_TRANSPOSE_0
MI_TRNS_1 QK_MIDI_TRANSPOSE_1
MI_TRNS_2 QK_MIDI_TRANSPOSE_2
MI_TRNS_3 QK_MIDI_TRANSPOSE_3
MI_TRNS_4 QK_MIDI_TRANSPOSE_4
MI_TRNS_5 QK_MIDI_TRANSPOSE_5
MI_TRNS_6 QK_MIDI_TRANSPOSE_6
MI_TRNSD QK_MIDI_TRANSPOSE_DOWN
MI_TRNSU QK_MIDI_TRANSPOSE_UP
MI_VEL_0 QK_MIDI_VELOCITY_0
MI_VEL_1 QK_MIDI_VELOCITY_1
MI_VEL_2 QK_MIDI_VELOCITY_2
MI_VEL_3 QK_MIDI_VELOCITY_3
MI_VEL_4 QK_MIDI_VELOCITY_4
MI_VEL_5 QK_MIDI_VELOCITY_5
MI_VEL_6 QK_MIDI_VELOCITY_6
MI_VEL_7 QK_MIDI_VELOCITY_7
MI_VEL_8 QK_MIDI_VELOCITY_8
MI_VEL_9 QK_MIDI_VELOCITY_9
MI_VEL_10 QK_MIDI_VELOCITY_10
MI_CHD QK_MIDI_CHANNEL_DOWN
MI_CHU QK_MIDI_CHANNEL_UP
MI_ALLOFF QK_MIDI_ALL_NOTES_OFF
MI_MODSD QK_MIDI_MODULATION_SPEED_DOWN
MI_MODSU QK_MIDI_MODULATION_SPEED_UP
MI_BENDD QK_MIDI_PITCH_BEND_DOWN
MI_BENDU QK_MIDI_PITCH_BEND_UP

HPT_ON QK_HAPTIC_ON
HPT_OFF QK_HAPTIC_OFF
HPT_TOG QK_HAPTIC_TOGGLE
HPT_RST QK_HAPTIC_RESET
HPT_FBK QK_HAPTIC_FEEDBACK_TOGGLE
HPT_BUZ QK_HAPTIC_BUZZ_TOGGLE
HPT_MODI QK_HAPTIC_MODE_NEXT
HPT_MODD QK_HAPTIC_MODE_PREVIOUS
HPT_CONT QK_HAPTIC_CONTINUOUS_TOGGLE
HPT_CONI QK_HAPTIC_CONTINUOUS_UP
HPT_COND QK_HAPTIC_CONTINUOUS_DOWN
HPT_DWLI QK_HAPTIC_DWELL_UP
HPT_DWLD QK_HAPTIC_DWELL_DOWN
